Sample ID	Sample type	median LOH VAF	LOH gene count	Copy neutral gene count	snp_TC	mut_TC
VCC-061-Baseline			12.0	11.0	0.0	0.0
VCC-069-Progression			39.0	37.0	0.0	0.0
VCC-078-Baseline			34.0	33.0	0.0	0.0
VCC-082-Baseline			27.0	26.0	0.0	0.0
VCC-090-Baseline			30.0	29.0	0.0	0.0
VCC-095-Baseline			36.0	35.0	0.0	0.0
VCC-095-Progression			37.0		0.0	0.0
VCC-095-Progression2			36.0		0.0	0.0
VCC-100-Baseline			30.0	29.0	0.0	0.0
VCC-103-Progression			28.0	27.0	0.0	0.0
VCC-106-Baseline			30.0	28.0	0.0	0.0
VCC-106-Progression			30.0	28.0	0.0	0.0
VCC-106-Progression2			30.0		0.0	0.0
VCC-122-Progression			31.0	30.0	0.0	0.0
VCC-141-Baseline			31.0		0.0	0.0
VCC-144-Baseline			28.0		0.0	0.0
VCC-144-Progression			30.0		0.0	0.0
VCC-165-Baseline			37.0		0.0	0.0
VCC-169-Baseline			45.0	43.0	0.0	0.0
VCC-169-Progression			43.0		0.0	0.0
VCC-175-Baseline			38.0	37.0	0.0	0.0
VCC-178-Baseline			32.0		0.0	0.0
VCC-179-Baseline			35.0		0.0	0.0
VCC-181-Baseline			34.0	33.0	0.0	0.0
VCC-182-Baseline			29.0		0.0	0.0
VCC-182-Progression			33.0		0.0	0.0
VCC-186-Baseline			34.0		0.0	0.0
VCC-186-Progression			38.0	36.0	0.0	0.0
VCC-199-Baseline			38.0		0.0	0.0
VCC-201-Baseline			30.0		0.0	0.0
VCC-201-Progression2			30.0	28.0	0.0	0.0
VIC-034-Baseline			27.0	26.0	0.0	0.0
VIC-057-Baseline			3.0		0.0	0.0
VIC-065-Baseline			33.0		0.0	0.0
VIC-065-Progression			33.0	32.0	0.0	0.0
VIC-087-Progression			34.0	33.0	0.0	0.0
VIC-087-Progression2			35.0	34.0	0.0	0.0
VIC-101-Baseline			33.0		0.0	0.0
